unique_url,url_class
gallito.com.uy,Sports
hustler-magazine.biz,Pornography
rietveldusa.com,Online Shopping
65.15.126.222,UNKNOWN
enchantedceiling.com,Forum/Bulletin Boards
64.165.39.227,UNKNOWN
gulfshores-vacations.com,Real Estate
forbidden-stories.com,Pornography
buildacarepackage.com,Online Shopping
pornhotlist.com,Pornography
malestrippersdirectory.com,Pornography
lifeextensionvitamins.com,Health
pata.org,Travel
katakirei.com,Entertainment
uceusa.com,Education/Reference
hekkuli.org,Internet Services
123roms.com,Games
vampyremag.com,Forum/Bulletin Boards
grantsfrenzy.com,Education/Reference
modxtreme.com,UNKNOWN
kristaltech.com,Marketing/Merchandising
need-search.com,Forum/Bulletin Boards
buy-pants.com,Online Shopping
accessoriesnewyork.com,Portal Sites
survivorfire.com,Entertainment
